fid,gbifID,occurrenceID,order,family,genus,species
1,3649993938,URN:catalog:CLO:EBIRD:OBS1082880916,Passeriformes,Laniidae,Lanius,Lanius cristatus
2,3590192308,URN:catalog:CLO:EBIRD:OBS1099637902,Passeriformes,Sturnidae,Aplonis,Aplonis panayensis
3,3679977656,URN:catalog:CLO:EBIRD:OBS1111246205,Passeriformes,Oriolidae,Oriolus,Oriolus chinensis
4,4245628144,URN:catalog:CLO:EBIRD:OBS1385753892,Passeriformes,Nectariniidae,Cinnyris,Cinnyris jugularis
6,3623865587,URN:catalog:CLO:EBIRD:OBS1116014374,Passeriformes,Passeridae,Passer,Passer montanus
7,3625850782,URN:catalog:CLO:EBIRD:OBS1116026406,Pelecaniformes,Ardeidae,Egretta,Egretta garzetta
8,3529815882,URN:catalog:CLO:EBIRD:OBS1121887083,Passeriformes,Motacillidae,Motacilla,Motacilla tschutschensis
9,3568045343,URN:catalog:CLO:EBIRD:OBS1129473871,Passeriformes,Nectariniidae,Cinnyris,Cinnyris jugularis
10,4670950711,URN:catalog:CLO:EBIRD:OBS1737370489,Columbiformes,Columbidae,Columba,Columba livia
11,3622039550,URN:catalog:CLO:EBIRD:OBS1086340977,Passeriformes,Corvidae,Corvus,
12,5311394746,URN:catalog:CLO:EBIRD:OBS1980598424,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus goiavier
13,3517785173,URN:catalog:CLO:EBIRD:OBS1122476003,Passeriformes,Laniidae,Lanius,Lanius cristatus
14,3518288984,URN:catalog:CLO:EBIRD:OBS1054332205,Passeriformes,Motacillidae,Motacilla,Motacilla cinerea
16,4212913016,URN:catalog:CLO:EBIRD:OBS1384406480,Apodiformes,Apodidae,Collocalia,Collocalia marginata
17,4246655713,URN:catalog:CLO:EBIRD:OBS1518646403,Passeriformes,Laniidae,Lanius,Lanius cristatus
18,4699835835,URN:catalog:CLO:EBIRD:OBS1609959563,Piciformes,Picidae,Yungipicus,Yungipicus maculatus
19,3654731987,URN:catalog:CLO:EBIRD:OBS1278134615,Pelecaniformes,Ardeidae,Butorides,Butorides striata
20,3558024807,URN:catalog:CLO:EBIRD:OBS1073190942,Passeriformes,Zosteropidae,Zosterops,Zosterops meyeni
21,3673891003,URN:catalog:CLO:EBIRD:OBS1117992340,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus goiavier
22,4307876255,URN:catalog:CLO:EBIRD:OBS1315916223,Psittaciformes,Psittacidae,Loriculus,Loriculus philippensis
23,3276660202,URN:catalog:CLO:EBIRD:OBS1002671436,Psittaciformes,Psittacidae,Loriculus,Loriculus philippensis
24,3639081354,URN:catalog:CLO:EBIRD:OBS1219817909,Pelecaniformes,Ardeidae,Egretta,Egretta garzetta
25,3679706703,URN:catalog:CLO:EBIRD:OBS1111246214,Columbiformes,Columbidae,Geopelia,Geopelia striata
26,4332278115,URN:catalog:CLO:EBIRD:OBS1357358307,Columbiformes,Columbidae,Geopelia,Geopelia striata
27,3511172488,URN:catalog:CLO:EBIRD:OBS1111248993,Passeriformes,Motacillidae,Motacilla,Motacilla cinerea
28,3518284518,URN:catalog:CLO:EBIRD:OBS1117989322,Passeriformes,Passeridae,Passer,Passer montanus
29,3224383562,URN:catalog:CLO:EBIRD:OBS915646125,Psittaciformes,Psittacidae,Loriculus,Loriculus philippensis
30,5364257996,URN:catalog:CLO:EBIRD:OBS2218373312,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus goiavier
31,4264366576,URN:catalog:CLO:EBIRD:OBS1466546094,Passeriformes,Passeridae,Passer,Passer montanus
32,4296841171,URN:catalog:CLO:EBIRD:OBS1477838895,Apodiformes,Apodidae,Collocalia,Collocalia marginata
33,5482900851,URN:catalog:CLO:EBIRD:OBS2552281878,Passeriformes,Artamidae,Artamus,Artamus leucorhynchos
34,3598055333,URN:catalog:CLO:EBIRD:OBS1092826698,Passeriformes,Sturnidae,Aplonis,Aplonis panayensis
35,4631149343,URN:catalog:CLO:EBIRD:OBS1630537587,Piciformes,Megalaimidae,Psilopogon,Psilopogon haemacephalus
36,4692878131,URN:catalog:CLO:EBIRD:OBS1632748399,Passeriformes,Laniidae,Lanius,Lanius cristatus
37,3548239784,URN:catalog:CLO:EBIRD:OBS1069482036,Piciformes,Megalaimidae,Psilopogon,Psilopogon haemacephalus
38,3551331461,URN:catalog:CLO:EBIRD:OBS1129473874,Pelecaniformes,Ardeidae,Egretta,Egretta garzetta
39,4259042077,URN:catalog:CLO:EBIRD:OBS1380470426,Passeriformes,Passeridae,Passer,Passer montanus
40,4313551814,URN:catalog:CLO:EBIRD:OBS1430310169,Columbiformes,Columbidae,Geopelia,Geopelia striata
41,3168302515,URN:catalog:CLO:EBIRD:OBS915645734,Passeriformes,Nectariniidae,Cinnyris,Cinnyris jugularis
43,5479194766,URN:catalog:CLO:EBIRD:OBS2560204076,Passeriformes,Sturnidae,Sarcops,Sarcops calvus
44,3233230860,URN:catalog:CLO:EBIRD:OBS845949802,Passeriformes,Rhipiduridae,Rhipidura,Rhipidura nigritorquis
45,3228816617,URN:catalog:CLO:EBIRD:OBS864316670,Charadriiformes,Laridae,Chlidonias,Chlidonias hybrida
46,3231810876,URN:catalog:CLO:EBIRD:OBS917425577,Coraciiformes,Alcedinidae,Todiramphus,Todiramphus chloris
47,3607390356,URN:catalog:CLO:EBIRD:OBS1194029599,Passeriformes,Sturnidae,Aplonis,Aplonis panayensis
48,4260115634,URN:catalog:CLO:EBIRD:OBS1378237442,Passeriformes,Passeridae,Passer,Passer montanus
49,3511784227,URN:catalog:CLO:EBIRD:OBS1081460632,Coraciiformes,Alcedinidae,Todiramphus,Todiramphus chloris
50,3665109486,URN:catalog:CLO:EBIRD:OBS1234561857,Passeriformes,Corvidae,Corvus,
51,4207550867,URN:catalog:CLO:EBIRD:OBS1339270383,Passeriformes,Motacillidae,Motacilla,Motacilla cinerea
52,4648016174,URN:catalog:CLO:EBIRD:OBS1639025167,Passeriformes,Acanthizidae,Gerygone,Gerygone sulphurea
53,4191310208,URN:catalog:CLO:EBIRD:OBS1350507686,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus goiavier
54,5345299544,URN:catalog:CLO:EBIRD:OBS2287226726,Coraciiformes,Alcedinidae,Todiramphus,Todiramphus chloris
55,4688493444,URN:catalog:CLO:EBIRD:OBS1597543446,Passeriformes,Acanthizidae,Gerygone,Gerygone sulphurea
56,3520203292,URN:catalog:CLO:EBIRD:OBS1117989323,Passeriformes,Motacillidae,Motacilla,Motacilla cinerea
57,3663026648,URN:catalog:CLO:EBIRD:OBS1073188620,Columbiformes,Columbidae,Geopelia,Geopelia striata
58,3581355879,URN:catalog:CLO:EBIRD:OBS1256276499,Passeriformes,Sturnidae,Aplonis,Aplonis panayensis
59,4271617694,URN:catalog:CLO:EBIRD:OBS1479578038,Piciformes,Picidae,Yungipicus,Yungipicus maculatus
60,3685268617,URN:catalog:CLO:EBIRD:OBS1251721842,Pelecaniformes,Ardeidae,Nycticorax,Nycticorax nycticorax
61,3653860750,URN:catalog:CLO:EBIRD:OBS1219817905,Passeriformes,Oriolidae,Oriolus,Oriolus chinensis
62,3570016974,URN:catalog:CLO:EBIRD:OBS1237382195,Passeriformes,Passeridae,Passer,Passer montanus
63,4302850300,URN:catalog:CLO:EBIRD:OBS1329314365,Columbiformes,Columbidae,Treron,Treron vernans
64,3541154973,URN:catalog:CLO:EBIRD:OBS1073190945,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus goiavier
65,3618007845,URN:catalog:CLO:EBIRD:OBS1098581587,Passeriformes,Oriolidae,Oriolus,Oriolus chinensis
66,3638453221,URN:catalog:CLO:EBIRD:OBS1222162981,Passeriformes,Acanthizidae,Gerygone,Gerygone sulphurea
67,4736151612,URN:catalog:CLO:EBIRD:OBS1639025159,Piciformes,Megalaimidae,Psilopogon,Psilopogon haemacephalus
68,3677712256,URN:catalog:CLO:EBIRD:OBS1073182833,Passeriformes,Corvidae,Corvus,
70,4284795079,URN:catalog:CLO:EBIRD:OBS1344447032,Passeriformes,Estrildidae,Lonchura,Lonchura atricapilla
71,4299937519,URN:catalog:CLO:EBIRD:OBS1331007111,Passeriformes,Artamidae,Artamus,Artamus leucorhynchos
72,3516870823,URN:catalog:CLO:EBIRD:OBS1121865324,Columbiformes,Columbidae,Spilopelia,Spilopelia chinensis
73,4209935487,URN:catalog:CLO:EBIRD:OBS1336401568,Passeriformes,Laniidae,Lanius,Lanius cristatus
74,3621949082,URN:catalog:CLO:EBIRD:OBS1111255400,Pelecaniformes,Ardeidae,Egretta,Egretta garzetta
75,4326861149,URN:catalog:CLO:EBIRD:OBS1344447037,Passeriformes,Campephagidae,Lalage,Lalage nigra
76,3674723987,URN:catalog:CLO:EBIRD:OBS1114407114,Passeriformes,Rhipiduridae,Rhipidura,Rhipidura nigritorquis
77,4308155501,URN:catalog:CLO:EBIRD:OBS1094481662,Galliformes,Phasianidae,Gallus,Gallus gallus
78,3280956744,URN:catalog:CLO:EBIRD:OBS1027283640,Passeriformes,Dicaeidae,Dicaeum,Dicaeum australe
